1EMFR,671,296,EMF READER,AVERAGE,45,2,1
2FLAS,671,319,FLASHLIGHT,USELESS,30,4,1
3CAME,671,345,CAMERA (PHOTO),IMPORTANT,40,3,1
4LIGH,671,370,LIGHTER,IMPORTANT,10,2,0
5CAND,671,394,CANDLE,AVERAGE,15,4,0
6UVFL,671,419,UV FLASHLIGHT,IMPORTANT,35,2,1
7CRUC,671,442,CRUCIFIX,IMPORTANT,30,2,0
8VIDE,671,466,VIDEO CAMERA,IMPORTANT,50,6,1
9SPIR,671,491,SPIRIT BOX,AVERAGE,50,2,1
10SAL,671,515,SALT,IMPORTANT,15,2,0
11SMU,671,540,SMUDGE STICKS,IMPORTANT,15,4,0
12TRI,671,564,TRIPOD,AVERAGE,25,5,0
13FLA,671,589,STRONG FLASHLIGHT,IMPORTANT,50,4,0
14MOV,671,613,MOVEMENT SENSOR,IMPORTANT,100,4,0
15SOU,671,637,SOUND SENSOR,IMPORTANT,80,4,0
16THE,1115,296,THERMOMETER,IMPORTANT,30,3,0
17SAN,1115,320,SANITY PILLS,IMPORTANT,45,4,0
18GHO,1115,345,GHOST WRITING NOTEBOOK,IMPORTANT,40,2,1
19INF,1115,370,INFRARED SENSOR,USELESS,65,4,0
20DIR,1115,393,DIRECTIONAL MICROPHONE,USELESS,50,2,0
21UVL,1115,417,UV LIGHT STICK,AVERAGE,20,2,0
22HEA,1115,441,HEAD CAMERA,USELESS,60,4,0
